Champion,G,PB%,B,G,By,W,L,WR,K,D,A,KDA,CS,CS/M,G,G/M,DMG,DMG/M,KPAR,KS,GS,As
Taliyah,21,12.4%,4,17,7,9,8,52.9%,2.41,2.29,5.06,3.26,304.59,9,13.5,400,19.2k,567,68.3%,22%,22.3%,
Draven,21,12.4%,7,14,6,10,4,71.4%,4.07,1.79,4.71,4.92,306.5,9.27,16,483,16.7k,505,63.1%,29.2%,25.4%,
Lux,19,11.2%,2,17,7,11,6,64.7%,1.06,1.88,7.35,4.47,25.88,0.83,7.9,252,9.2k,296,76.9%,9.7%,13.8%,
Camille,19,11.2%,7,12,6,5,7,41.7%,2.25,2.58,2.5,1.84,256.92,8.29,11.9,385,13k,420,50%,23.7%,22%,
Sion,18,10.6%,1,17,7,7,10,41.2%,1.29,1.65,4,3.21,224.82,7.34,10.4,341,11.1k,364,54.9%,13.4%,19.6%,
Nautilus,18,10.6%,6,12,7,3,9,25%,1,2.92,5.58,2.26,36.33,1.19,7,230,4.2k,139,69.3%,10.5%,13.3%,
Irelia,15,8.8%,8,7,7,3,4,42.9%,3.57,3.14,3.14,2.14,334.71,9.64,14.6,421,17.4k,500,53.4%,28.4%,23.3%,
Viego,12,7.1%,2,10,7,6,4,60%,2.2,1.7,4.2,3.76,173.3,6.13,9.8,347,7.4k,260,57.1%,19.6%,19%,
Aphelios,12,7.1%,2,10,6,4,6,40%,2.6,1.7,1.3,2.29,273,9.57,11.9,417,12.2k,429,43.8%,29.2%,23.4%,
Ornn,12,7.1%,4,8,5,5,3,62.5%,0.63,1.63,6,4.08,233,7.37,10.8,341,10.9k,344,55.2%,5.2%,19.2%,
Ahri,12,7.1%,6,6,4,2,4,33.3%,1.5,2.83,4.83,2.24,283,8.72,12.1,371,12.2k,377,64.4%,15.3%,20.9%,
Kalista,11,6.5%,5,6,3,4,2,66.7%,1.33,1.67,7.5,5.3,37.67,1.22,8.6,279,8.4k,272,67.9%,10.3%,15%,
Soraka,8,4.7%,1,7,4,1,6,14.3%,0.57,2.86,3.71,1.5,27.86,0.84,7.3,219,4k,122,56.6%,7.5%,13.3%,
Leona,8,4.7%,2,6,3,3,3,50%,0.5,2.83,7.33,2.76,35.17,1.06,7.7,233,3.5k,105,60.3%,3.8%,12.9%,
Lissandra,8,4.7%,4,4,4,2,2,50%,3,2.75,7.75,3.91,248,7.91,11.7,372,14.9k,476,78.2%,21.8%,20.5%,
Xayah,8,4.7%,4,4,3,2,2,50%,4.75,2.75,4,3.18,418.25,10.58,17.9,452,29.8k,754,79.5%,43.2%,25.4%,
Nidalee,7,4.1%,2,5,4,3,2,60%,2.6,1.4,3,4,189.4,5.93,11,343,15.2k,476,60.9%,28.3%,19.1%,
Gwen,7,4.1%,3,4,3,2,2,50%,2.25,2,4.5,3.38,310.75,9.16,14,414,22.3k,658,56.3%,18.8%,23.3%,
